Data record 10/15,Not slowed,slowed,slower,slowest,Not slowed
,118,2,118,120,124
,118,0,120,120,118
,118,-2,120,118,118
,118,0,118,120,120
,120,-2,118,118,92
,104,0,118,118,50
,56,-2,118,118,28
,34,-2,118,118,16
,18,-2,120,118,10
,14,-2,120,120,6
,6,0,118,118,2
,2,-2,120,64,0
,2,-2,118,38,-2
,0,-2,118,24,0
,0,-2,118,16,0
,2,-2,120,10,0
,0,-2,118,6,0
,0,0,118,4,0
,0,-2,120,2,0
,0,-2,118,0,0
,2,-2,118,2,0
,0,-2,118,2,0
,0,-2,118,2,0
,0,-2,118,0,0
,0,-2,118,0,0
,0,-2,118,0,0
,0,-2,118,0,0
,0,-2,120,0,0
,0,-2,120,0,0
,2,-2,118,0,2
,2,0,118,0,0
,2,120,122,0,2
,4,120,118,0,2
,2,120,118,0,2
,2,118,120,0,0
,2,118,118,-2,6
,2,118,118,-2,2
,2,118,120,-2,2
,6,118,118,0,2
,2,118,118,-2,2
,2,120,118,0,2
,2,120,120,-2,2
,2,120,120,-2,2
,2,120,118,-2,2
,2,118,120,-2,120
,120,118,118,0,120
,120,124,118,-2,118
,118,120,120,-2,118
,120,118,120,-2,120
,118,120,118,0,118
,118,118,120,-2,118
,120,120,120,-2,120
,120,120,118,-2,120
,118,118,118,-2,118
,120,120,120,-2,120
,120,120,120,-2,118
,118,120,108,0,118
,118,118,60,-2,120
,118,118,36,-2,120
,118,118,22,-2,120
,120,118,16,0,118
,120,118,8,0,120
,118,120,4,-2,118
,118,118,4,6,118
,120,118,2,0,120
,120,118,2,0,120
,118,118,0,0,118
